id;name;about;img;img_content_type;country;province;city;address;longitude;latitude;logo;logo_content_type;created_at;updated_at
1;Nigeria;Frozen Borders;../fake-data/blob/hipster.png;image/png;Mongolia;focus group Orchestrator;Leuschkeland;Ball;45390;23927;../fake-data/blob/hipster.png;image/png;2020-03-24T19:33:43;2020-03-24T11:36:02
2;Bedfordshire Generic;Group portals;../fake-data/blob/hipster.png;image/png;Montenegro;navigating vertical;Katlynnview;leading edge;74333;97923;../fake-data/blob/hipster.png;image/png;2020-03-24T19:25:38;2020-03-24T10:31:42
3;Colombian Peso Unidad de Valor Real;Rustic;../fake-data/blob/hipster.png;image/png;Mauritania;Lesotho parsing;Randalside;Music;21093;32001;../fake-data/blob/hipster.png;image/png;2020-03-24T05:12:59;2020-03-24T15:00:09
4;Architect invoice;Function-based Handmade Wooden Salad;../fake-data/blob/hipster.png;image/png;Cape Verde;Ergonomic Wooden Pants Integration Steel;North Jonathanville;Designer;93476;21647;../fake-data/blob/hipster.png;image/png;2020-03-24T16:14:40;2020-03-24T01:58:30
5;Buckinghamshire Branding;Bypass;../fake-data/blob/hipster.png;image/png;Wallis and Futuna;reboot UIC-Franc;Huelsview;withdrawal Future Auto Loan Account;62389;28210;../fake-data/blob/hipster.png;image/png;2020-03-24T00:30:19;2020-03-24T16:08:06
6;Practical Fresh Pizza Auto Loan Account;payment PCI;../fake-data/blob/hipster.png;image/png;Niue;Oregon Ergonomic;New Bennett;Cambridgeshire Checking Account;6127;68045;../fake-data/blob/hipster.png;image/png;2020-03-24T20:29:22;2020-03-24T05:57:49
7;Generic 5th generation;Director;../fake-data/blob/hipster.png;image/png;Marshall Islands;recontextualize;Sporerburgh;hard drive Manager Savings Account;29772;95184;../fake-data/blob/hipster.png;image/png;2020-03-24T01:01:48;2020-03-24T03:45:19
8;Terrace;optical Gorgeous Kids;../fake-data/blob/hipster.png;image/png;Oman;Vista;Justinechester;pixel Corners Towels;67242;89502;../fake-data/blob/hipster.png;image/png;2020-03-24T13:28:51;2020-03-24T21:29:09
9;Intelligent Money Market Account;Marshall Islands Gorgeous New Jersey;../fake-data/blob/hipster.png;image/png;Gabon;Ports Orchard;Lake Sammy;Developer hub Computers;48547;94772;../fake-data/blob/hipster.png;image/png;2020-03-24T07:40:28;2020-03-24T03:59:14
10;content-based SQL;redefine Monitored card;../fake-data/blob/hipster.png;image/png;Lithuania;Awesome 24/7;East Danielle;Senior;93183;35360;../fake-data/blob/hipster.png;image/png;2020-03-24T19:12:24;2020-03-24T04:09:31
